병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지,addr_rep,latitude,longitude,시도명,시군구명
삼성맑은내과의원,의원,02-400-8877,5768.0,"서울특별시 송파구 오금로 519, 2층일부,3층 (거여동)",,서울특별시 송파구 오금로 519,37.4930969613738,127.14651816376,서울특별시,송파구
강동경희대학교의대병원,종합병원,02-440-7114,5278.0,"서울특별시 강동구 동남로 892, (상일동)",http://www.khnmc.or.kr,서울특별시 강동구 동남로 892,37.5520459324005,127.157084787845,서울특별시,강동구
한국보훈복지의료공단 중앙보훈병원,종합병원,02-2225-1111,5368.0,"서울특별시 강동구 진황도로61길 53, (둔촌동)",http://seoul.bohun.or.kr,서울특별시 강동구 진황도로61길 53,37.5284637471127,127.147925555901,서울특별시,강동구
강동맑은내과의원,의원,02-481-5007,5269.0,"서울특별시 강동구 동남로73길 13, 4층 (명일동)",,서울특별시 강동구 동남로73길 13,37.5527430197238,127.155461707633,서울특별시,강동구
명일성모내과의원,의원,02-428-2180,5269.0,"서울특별시 강동구 동남로73길 31, 3층 (명일동)",,서울특별시 강동구 동남로73길 31,37.5526724241,127.154468163027,서울특별시,강동구
송파인내과의원,의원,02-409-0875,5823.0,"서울특별시 송파구 동남로 189, 가락쌍용아파트 2층 224호 (가락동)",,서울특별시 송파구 동남로 189,37.4946614092198,127.129853687565,서울특별시,송파구
고은내과의원,의원,02-3401-0875,5806.0,"서울특별시 송파구 동남로4길 36, (문정동, FI빌딩 2층)",,서울특별시 송파구 동남로4길 36,37.4870676299411,127.124584820279,서울특별시,송파구
연세한마음내과의원,의원,02-476-3690,5351.0,"서울특별시 강동구 양재대로 1486, 정남빌딩 2, 4층 401호 (길동)",,서울특별시 강동구 양재대로 1486,37.538375386079,127.140544045282,서울특별시,강동구
연세심내과의원,의원,442-2480,5292.0,"서울특별시 강동구 양재대로 1620, 명일빌딩 4,5,6층 (명일동)",www.yonseisim.co.kr/,서울특별시 강동구 양재대로 1620,37.5500468701064,127.14410100908,서울특별시,강동구
케이앤씨서울내과의원,의원,02-3012-3100,5829.0,"서울특별시 송파구 송이로 138, 수빌딩 2층 (가락동)",,서울특별시 송파구 송이로 138,37.4942915163666,127.123495184317,서울특별시,송파구
경찰병원,종합병원,02-3400-1114,5715.0,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",http://www.nph.go.kr,서울특별시 송파구 송이로 123,37.4964145655333,127.123487484921,서울특별시,송파구
성심의료재단강동성심병원,종합병원,02-2224-2114,5355.0,"서울특별시 강동구 성안로 150, (길동)",www.kdh.or.kr,서울특별시 강동구 성안로 150,37.5361555499193,127.135335702535,서울특별시,강동구
강동한내과의원,의원,02-488-0878,5354.0,"서울특별시 강동구 성안로 156, 7층 (길동, 우주빌딩)",,서울특별시 강동구 성안로 156,37.5368756321635,127.135411566567,서울특별시,강동구
(의) 열린의료재단 강동열린의원,의원,02-485-7575,5381.0,"서울특별시 강동구 천호대로 1092, 1층 112호,113호 (성내동, SK허브진)",,서울특별시 강동구 천호대로 1092,37.5352477607977,127.132663780085,서울특별시,강동구
온사랑내과의원,의원,02-476-0875,5378.0,"서울특별시 강동구 천호대로 1006, 4층 (성내동)",,서울특별시 강동구 천호대로 1006,37.5380513979559,127.123788971242,서울특별시,강동구
